City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Kralendijk,BQ,2021-10-05 19:51:53,12.15,-68.2667,89.58,66,75,25.32
122,Vila Franca Do Campo,PT,2021-10-05 19:51:54,37.7167,-25.4333,76.19,89,100,5.28
123,Kununurra,AU,2021-10-05 19:51:54,-15.7667,128.7333,75.18,78,0,1.14
124,Tiksi,RU,2021-10-05 19:51:54,71.6872,128.8694,28.6,90,100,13.47
125,Kaitangata,NZ,2021-10-05 19:51:55,-46.2817,169.8464,52.41,95,100,12.03
126,Sao Filipe,CV,2021-10-05 19:51:55,14.8961,-24.4956,81.54,72,7,8.86
127,Newnan,US,2021-10-05 19:51:56,33.3807,-84.7997,72.59,85,90,6.91
128,Wyszkow,PL,2021-10-05 19:51:56,52.5928,21.4584,62.15,43,1,20.78
129,Huilong,CN,2021-10-05 19:51:57,31.8111,121.655,76.98,88,20,9.48
130,Lebu,CL,2021-10-05 19:51:57,-37.6167,-73.65,52.79,71,0,23.71
131,Saint-Philippe,RE,2021-10-05 19:51:57,-21.3585,55.7679,69.39,84,22,5.68
132,Port Elizabeth,ZA,2021-10-05 19:51:13,-33.918,25.5701,61.11,84,10,11.12
133,Upernavik,GL,2021-10-05 19:51:58,72.7868,-56.1549,29.98,52,100,5.73
134,Moose Factory,CA,2021-10-05 19:51:59,51.2585,-80.6094,68.0,56,1,12.66
135,Coihaique,CL,2021-10-05 19:51:59,-45.5752,-72.0662,52.41,36,20,2.06
136,Uyskoye,RU,2021-10-05 19:52:00,54.3775,60.0047,35.8,71,100,8.08
137,Trat,TH,2021-10-05 19:52:00,12.5,102.5,79.99,97,100,1.7
138,Vardo,NO,2021-10-05 19:52:01,70.3705,31.1107,52.0,81,75,16.11
139,Heilbron,ZA,2021-10-05 19:52:01,-27.2812,27.9709,61.84,31,41,3.18
140,Bilibino,RU,2021-10-05 19:52:02,68.0546,166.4372,9.68,96,100,3.27
141,Turayf,SA,2021-10-05 19:52:02,31.6725,38.6637,73.65,38,0,4.61
142,Mantua,IT,2021-10-05 19:52:02,45.1667,10.7833,66.06,77,100,3.0
143,Zhigansk,RU,2021-10-05 19:52:03,66.7697,123.3711,28.33,89,100,14.34
144,Flinders,AU,2021-10-05 19:52:03,-34.5833,150.8552,56.17,63,15,8.99
145,Itarema,BR,2021-10-05 19:52:04,-2.9248,-39.9167,81.3,76,84,18.43
146,Atuona,PF,2021-10-05 19:52:04,-9.8,-139.0333,78.21,76,74,22.12
147,Pisco,PE,2021-10-05 19:52:04,-13.7,-76.2167,68.05,68,0,10.36
148,Pangnirtung,CA,2021-10-05 19:52:05,66.1451,-65.7125,41.0,56,90,11.5
149,Shirokiy,RU,2021-10-05 19:52:05,49.758,129.523,36.16,67,70,4.21
150,Constitucion,CL,2021-10-05 19:52:06,-35.3333,-72.4167,60.71,55,100,17.6
151,Byron Bay,AU,2021-10-05 19:52:06,-28.65,153.6167,53.87,57,0,8.84
152,Los Llanos De Aridane,ES,2021-10-05 19:52:06,28.6585,-17.9182,69.55,74,75,14.97
153,Eureka,US,2021-10-05 19:52:07,40.8021,-124.1637,69.13,66,99,7.0
154,Kapaa,US,2021-10-05 19:52:07,22.0752,-159.319,81.19,71,40,1.01
155,Samana,DO,2021-10-05 19:52:07,19.2056,-69.3369,88.02,74,75,9.22
156,Botou,CN,2021-10-05 19:52:08,38.0667,116.5667,51.75,95,100,12.33
157,Ilulissat,GL,2021-10-05 19:52:08,69.2167,-51.1,23.74,65,85,9.98
158,Saryozek,KZ,2021-10-05 19:52:09,44.3583,77.9753,35.38,98,100,5.14
159,Cidreira,BR,2021-10-05 19:52:09,-30.1811,-50.2056,61.34,53,0,8.46
160,Pangai,TO,2021-10-05 19:52:09,-19.8,-174.35,77.11,78,75,14.97
161,Kisanga,TZ,2021-10-05 19:52:10,-7.4362,37.7034,75.88,65,8,6.76
162,Mount Isa,AU,2021-10-05 19:52:10,-20.7333,139.5,71.37,20,95,0.0
163,Krasnoborsk,RU,2021-10-05 19:52:10,61.5598,45.934,39.96,85,65,6.42
164,Fuling,CN,2021-10-05 19:52:11,29.7022,107.3919,76.23,78,1,2.08
165,Torbay,CA,2021-10-05 19:52:11,47.6666,-52.7314,48.27,80,90,23.02
166,Tingi,TZ,2021-10-05 19:52:12,-11.3,35.0333,68.14,52,9,3.85
167,Kankaanpaa,FI,2021-10-05 19:52:12,61.8,22.4167,50.76,94,100,9.35
168,Aklavik,CA,2021-10-05 19:52:12,68.2191,-135.0107,31.03,77,10,14.65
169,Cherskiy,RU,2021-10-05 19:52:13,68.75,161.3,6.67,98,98,2.93
170,Fortuna,US,2021-10-05 19:52:13,40.5982,-124.1573,73.42,66,1,3.0
171,Voh,NC,2021-10-05 19:52:13,-20.9667,164.7,74.1,80,0,1.7
172,Klaksvik,FO,2021-10-05 19:52:14,62.2266,-6.589,43.72,76,98,10.49
173,Richards Bay,ZA,2021-10-05 19:52:14,-28.783,32.0377,66.09,89,100,7.92
174,Mar Del Plata,AR,2021-10-05 19:52:02,-38.0023,-57.5575,71.62,58,0,13.0
175,Mexico,PH,2021-10-05 19:51:32,15.0646,120.7198,78.82,98,100,4.97
176,Katsuura,JP,2021-10-05 19:52:15,35.1333,140.3,70.2,82,99,13.58
177,Santa Cruz Del Sur,CU,2021-10-05 19:52:15,20.7147,-77.9956,85.73,58,88,7.16
178,Jasper,US,2021-10-05 19:52:16,37.2001,-94.3502,77.05,55,75,1.01
179,Chara,RU,2021-10-05 19:52:16,56.9064,118.2631,26.19,68,17,1.88
180,Khor,RU,2021-10-05 19:52:16,47.8861,134.9464,34.2,77,0,8.12
181,Wau,SS,2021-10-05 19:52:17,7.7029,27.9953,75.45,76,70,4.27
182,Port Lincoln,AU,2021-10-05 19:52:18,-34.7333,135.8667,56.17,65,73,8.01
183,Matara,LK,2021-10-05 19:52:18,5.9485,80.5353,77.29,89,100,10.4
184,Ostrovnoy,RU,2021-10-05 19:52:19,68.0531,39.5131,47.26,89,100,28.72
185,Severo-Kurilsk,RU,2021-10-05 19:52:19,50.6789,156.125,42.69,85,38,23.64
186,San Carlos De Bariloche,AR,2021-10-05 19:50:27,-41.1456,-71.3082,44.35,29,75,16.11
187,Alamosa,US,2021-10-05 19:52:20,37.4695,-105.87,71.65,21,20,6.78
188,Nishihara,JP,2021-10-05 19:52:21,26.1842,127.7558,81.68,89,75,10.36
189,Zemio,CF,2021-10-05 19:52:21,5.0314,25.1361,69.96,95,31,2.75
190,Kutum,SD,2021-10-05 19:52:21,14.2,24.6667,78.04,19,0,15.86
191,Ponta Do Sol,PT,2021-10-05 19:52:22,32.6667,-17.1,72.23,74,100,5.35
192,Clyde River,CA,2021-10-05 19:52:22,70.4692,-68.5914,34.03,100,90,11.5
193,Carnarvon,AU,2021-10-05 19:52:22,-24.8667,113.6333,60.87,67,34,17.27
194,Wamba,NG,2021-10-05 19:52:23,8.9333,8.6,76.96,84,99,2.26
195,Yeppoon,AU,2021-10-05 19:52:23,-23.1333,150.7333,55.18,64,0,6.49
196,Hit,IQ,2021-10-05 19:52:23,33.6416,42.8251,76.96,28,0,2.28
