,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Bassila,BJ,78.67,overcast clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
393,Itaituba,BR,80.76,thunderstorm with light rain,-4.2761,-55.9836,Hotel Campos
401,Dhidhdhoo,MV,82.27,broken clouds,6.8833,73.1,Dhidhoo beach
403,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
405,Manggar,ID,79.93,few clouds,-2.8833,108.2667,Guest Hotel
408,Borba,BR,81.55,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
409,Avanigadda,IN,77.41,clear sky,16.0215,80.9181,AP Camping
410,Umm Lajj,SA,83.71,clear sky,25.0213,37.2685,Moon light Furnished Units
411,Mazamari,PE,77.58,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
414,Celestun,MX,82.27,overcast clouds,20.8667,-90.4,Posada Lilia
416,Norwalk,US,76.06,overcast clouds,33.9022,-118.0817,DoubleTree by Hilton Hotel Los Angeles - Norwalk
423,Cam Ranh,VN,80.56,light rain,11.9214,109.1591,OYO 598 Peony Hotel
424,Aquiraz,BR,84.22,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
426,Rio Tuba,PH,81.59,overcast clouds,8.5061,117.4317,Jjas Pension House
429,Bosaso,SO,84.88,clear sky,11.2842,49.1816,Red Sea Hotel
430,Alim,PH,81.36,overcast clouds,9.5649,122.4876,Calamai Tropica
433,Gimli,CA,77.43,scattered clouds,50.6336,-96.9907,Lakeview Gimli Resort
436,Canchungo,GW,77.07,light rain,12.0672,-16.0333,Aparthotel Napalach
440,North Myrtle Beach,US,82.13,clear sky,33.816,-78.68,Avista Resort
441,Charters Towers,AU,75.29,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
447,Sinnamary,GF,81.93,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
448,Maragogi,BR,77.14,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
450,Wanning,CN,76.91,moderate rain,18.8003,110.3967,Paradise Hotel
452,Tura,IN,75.29,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
457,Sirajganj,BD,84.45,overcast clouds,24.45,89.7167,Sourav talukder
458,Dwarka,IN,82.22,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
459,Uturoa,PF,78.46,few clouds,-16.7333,-151.4333,Villa Tonoï
461,Lexington,US,78.69,thunderstorm,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
464,Nortelandia,BR,80.67,broken clouds,-14.4547,-56.8028,Hotel Karysmã
465,Itoman,JP,81.37,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
466,Galle,LK,79.48,overcast clouds,6.0367,80.217,Amangalla
